Library name,Version,License name
"babashka/fs","0.1.2","Eclipse Public License 1.0"
"babashka/process","0.1.1","EPL-1.0"
"borkdude/dynaload","0.2.2","Eclipse Public License 1.0"
"borkdude/edamame","0.0.19","Eclipse Public License 1.0"
"byte-streams","0.2.5-alpha2","MIT License"
"camel-snake-kebab","0.4.2","Eclipse Public License"
"cheshire","5.10.2","The MIT License"
"clj-commons/clj-yaml","0.7.2","Eclipse Public License - v 1.0"
"clj-tuple","0.2.2","MIT License"
"com.auth0/java-jwt","3.12.0","unknown"
"com.auth0/jwks-rsa","0.15.0","unknown"
"com.bhauman/spell-spec","0.1.2","Eclipse Public License"
"com.brunobonacci/oneconfig","0.21.0","Apache License 2.0"
"com.brunobonacci/where","0.5.5","Apache License 2.0"
"com.cognitect.aws/api","0.8.539","The Apache Software License, Version 2.0"
"com.cognitect.aws/dynamodb","810.2.801.0","The Apache Software License, Version 2.0"
"com.cognitect.aws/endpoints","1.1.11.926","The Apache Software License, Version 2.0"
"com.cognitect.aws/kms","810.2.817.0","The Apache Software License, Version 2.0"
"com.cognitect.aws/sts","809.2.784.0","The Apache Software License, Version 2.0"
"com.cognitect/http-client","1.0.110","Apache License"
"com.cognitect/transit-clj","1.0.324","The Apache Software License, Version 2.0"
"com.cognitect/transit-java","1.0.343","The Apache Software License, Version 2.0"
"com.fasterxml.jackson.core/jackson-annotations","2.13.2","The Apache Software License, Version 2.0"
"com.fasterxml.jackson.core/jackson-core","2.13.2","The Apache Software License, Version 2.0"
"com.fasterxml.jackson.core/jackson-databind","2.13.2.2","The Apache Software License, Version 2.0"
"com.fasterxml.jackson.dataformat/jackson-dataformat-cbor","2.12.4","The Apache Software License, Version 2.0"
"com.fasterxml.jackson.dataformat/jackson-dataformat-smile","2.12.4","The Apache Software License, Version 2.0"
"com.fasterxml.jackson.datatype/jackson-datatype-jsr310","2.13.0","The Apache Software License, Version 2.0"
"com.github.luben/zstd-jni","1.5.0-4","unknown"
"com.github.piotr-yuxuan/malli-cli","2.0.0","European Union Public License 1.2 or later"
"com.github.piotr-yuxuan/slava-record","0.0.1","European Union Public License 1.2 or later"
"com.google.code.findbugs/jsr305","3.0.2","The Apache Software License, Version 2.0"
"com.google.errorprone/error_prone_annotations","2.5.1","Apache 2.0"
"com.google.guava/failureaccess","1.0.1","The Apache Software License, Version 2.0"
"com.google.guava/guava","30.1.1-jre","Apache License, Version 2.0"
"com.google.guava/listenablefuture","9999.0-empty-to-avoid-conflict-with-guava","The Apache Software License, Version 2.0"
"com.google.j2objc/j2objc-annotations","1.3","The Apache Software License, Version 2.0"
"com.googlecode.json-simple/json-simple","1.1.1","The Apache Software License, Version 2.0"
"com.xtdb/xtdb-core","1.21.0-beta3","The MIT License"
"commons-codec","1.15","Apache License, Version 2.0"
"commons-fileupload","1.4","Apache License, Version 2.0"
"commons-io","2.10.0","Apache License, Version 2.0"
"crypto-equality","1.0.0","Eclipse Public License"
"crypto-random","1.2.1","Eclipse Public License"
"expound","0.9.0","Eclipse Public License"
"fipp","0.6.25","Eclipse Public License"
"http-kit","2.6.0-alpha1","Apache License, Version 2.0"
"io.aleph/dirigiste","0.1.5","MIT License"
"io.confluent/common-utils","7.1.1","unknown"
"io.confluent/kafka-avro-serializer","7.1.1","Apache License 2.0"
"io.confluent/kafka-schema-registry-client","7.1.1","Apache License 2.0"
"io.confluent/kafka-schema-serializer","7.1.1","Apache License 2.0"
"io.confluent/telemetry-events-api","7.1.1-ce","unknown"
"io.swagger.core.v3/swagger-annotations","2.1.10","Apache License 2.0"
"javax.xml.bind/jaxb-api","2.3.0","CDDL 1.1"
"juji/editscript","0.5.8","Eclipse Public License"
"lambdaisland/deep-diff","0.0-47","Eclipse Public License 1.0"
"manifold","0.1.8","MIT License"
"meta-merge","1.0.0","Eclipse Public License"
"metosin/jsonista","0.3.5","Eclipse Public License"
"metosin/malli","0.8.4","unknown"
"metosin/muuntaja","0.6.8","Eclipse Public License"
"metosin/reitit","0.5.18","Eclipse Public License"
"metosin/reitit-core","0.5.18","Eclipse Public License"
"metosin/reitit-dev","0.5.18","Eclipse Public License"
"metosin/reitit-frontend","0.5.18","Eclipse Public License"
"metosin/reitit-http","0.5.18","Eclipse Public License"
"metosin/reitit-interceptors","0.5.18","Eclipse Public License"
"metosin/reitit-malli","0.5.18","Eclipse Public License"
"metosin/reitit-middleware","0.5.18","Eclipse Public License"
"metosin/reitit-ring","0.5.18","Eclipse Public License"
"metosin/reitit-schema","0.5.18","Eclipse Public License"
"metosin/reitit-sieppari","0.5.18","Eclipse Public License"
"metosin/reitit-spec","0.5.18","Eclipse Public License"
"metosin/reitit-swagger","0.5.18","Eclipse Public License"
"metosin/reitit-swagger-ui","0.5.18","Eclipse Public License"
"metosin/ring-http-response","0.9.3","Eclipse Public License"
"metosin/ring-swagger-ui","4.3.0","Eclipse Public License"
"metosin/schema-tools","0.12.3","Eclipse Public License"
"metosin/sieppari","0.0.0-alpha13","Eclipse Public License"
"metosin/spec-tools","0.10.5","Eclipse Public License"
"mvxcvi/arrangement","2.0.0","Public Domain"
"mvxcvi/puget","1.1.2","Public Domain"
"org.agrona/agrona","1.11.0","unknown"
"org.apache.avro/avro","1.11.0","Apache License, Version 2.0"
"org.apache.commons/commons-compress","1.21","Apache License, Version 2.0"
"org.apache.kafka/kafka-clients","7.1.1-ce","unknown"
"org.checkerframework/checker-qual","3.8.0","Checker Framework qualifiers"
"org.clojure/clojure","1.11.1","Eclipse Public License 1.0"
"org.clojure/core.async","1.5.644","Eclipse Public License 1.0"
"org.clojure/core.cache","1.0.225","Eclipse Public License 1.0"
"org.clojure/core.memoize","1.0.253","Eclipse Public License 1.0"
"org.clojure/core.rrb-vector","0.1.2","Eclipse Public License 1.0"
"org.clojure/core.specs.alpha","0.2.62","Eclipse Public License 1.0"
"org.clojure/data.avl","0.1.0","Eclipse Public License 1.0"
"org.clojure/data.codec","0.1.0","Eclipse Public License 1.0"
"org.clojure/data.json","2.4.0","Eclipse Public License 1.0"
"org.clojure/data.priority-map","1.1.0","Eclipse Public License 1.0"
"org.clojure/data.xml","0.2.0-alpha6","Eclipse Public License 1.0"
"org.clojure/spec.alpha","0.2.194","Eclipse Public License 1.0"
"org.clojure/test.check","1.1.1","Eclipse Public License 1.0"
"org.clojure/tools.analyzer","1.1.0","Eclipse Public License 1.0"
"org.clojure/tools.analyzer.jvm","1.2.1","Eclipse Public License 1.0"
"org.clojure/tools.cli","1.0.206","Eclipse Public License 1.0"
"org.clojure/tools.logging","1.1.0","Eclipse Public License 1.0"
"org.clojure/tools.reader","1.3.4","Eclipse Public License 1.0"
"org.eclipse.jetty/jetty-client","9.4.44.v20210927","Apache Software License - Version 2.0"
"org.eclipse.jetty/jetty-http","9.4.44.v20210927","Apache Software License - Version 2.0"
"org.eclipse.jetty/jetty-io","9.4.44.v20210927","Apache Software License - Version 2.0"
"org.eclipse.jetty/jetty-util","9.4.44.v20210927","Apache Software License - Version 2.0"
"org.flatland/ordered","1.5.9","Eclipse Public License - v 1.0"
"org.iq80.snappy/snappy","0.4","Apache License 2.0"
"org.javassist/javassist","3.18.1-GA","MPL 1.1"
"org.lz4/lz4-java","1.8.0","unknown"
"org.msgpack/msgpack","0.6.12","The Apache Software License, Version 2.0"
"org.ow2.asm/asm","5.2","unknown"
"org.slf4j/slf4j-api","1.7.30","MIT License"
"org.tukaani/xz","1.8","unknown"
"org.xerial.snappy/snappy-java","1.1.8.4","unknown"
"org.yaml/snakeyaml","1.26","Apache License, Version 2.0"
"ovotech/ring-jwt","2.3.0","Eclipse Public License"
"piotr-yuxuan/closeable-map","0.35.1","European Union Public License 1.2 or later"
"piotr-yuxuan/slava","0.33.0","European Union Public License 1.2 or later"
"potemkin","0.4.5","MIT License"
"prestancedesign/get-port","0.1.1","Eclipse Public License"
"primitive-math","0.1.6","MIT License"
"prismatic/schema","1.1.12","Eclipse Public License"
"pro.juxt.clojars-mirrors.com.stuartsierra/dependency","1.0.0","unknown"
"pro.juxt.clojars-mirrors.com.taoensso/nippy","3.1.1","unknown"
"pro.juxt.clojars-mirrors.edn-query-language/eql","2021.02.28","unknown"
"riddley","0.1.12","MIT License"
"ring/ring-codec","1.1.3","The MIT License"
"ring/ring-core","1.9.5","The MIT License"
"tech.droit/clj-diff","1.0.1","Eclipse Public License - v 1.0"
"tigris","0.1.2","Eclipse Public License"
